date time client_id server_id client_uqid server_uqid tcp_interval tcp_size tcp_speed udp_interval udp_size udp_speed jitter num_lost num_datagrams_sent num_out_of_order
2010-12-12 21:51:52.188401 0 1 i-1488be79 i-1688be7b 0.0-10.0 418193408 334116298 0.0-10.0 12500880 9991343 0.062 8 8503 11
2010-12-12 21:52:24.062806 1 0 i-1688be7b i-1488be79 0.0-10.0 490995712 392104270 0.0-10.0 12492060 9983320 0.038 3 8497 4
2010-12-12 21:53:00.193349 0 1 i-1488be79 i-1688be7b 0.0-10.0 472178688 377597764 0.0-10.0 12496470 9992266 0.050 0 8500 1
2010-12-12 21:53:30.264694 1 0 i-1688be7b i-1488be79 0.0-10.0 671645696 535712686 0.0-10.0 12502350 9999996 0.037 0 8504 1
2010-12-12 21:54:01.977192 0 1 i-1488be79 i-1688be7b 0.0-10.0 441606144 353187753 0.0-10.0 12502350 9999995 1.386 7 8504 1
2010-12-12 21:54:37.738217 1 0 i-1688be7b i-1488be79 0.0-10.0 663166976 530119239 0.0-10.0 12502350 9999994 0.029 0 8504 1
2010-12-12 21:55:18.544219 0 1 i-1488be79 i-1688be7b 0.0-10.0 482615296 385123074 0.0-10.0 12502350 9999994 0.032 0 8504 1
2010-12-12 21:55:58.647675 1 0 i-1688be7b i-1488be79 0.0-10.0 747405312 596908967 0.0-10.0 12502350 9972890 0.026 2 8504 3
2010-12-12 21:56:29.414298 0 1 i-1488be79 i-1688be7b 0.0-10.0 461742080 368339880 0.0-10.0 12452370 9961814 0.026 0 8470 1
2010-12-12 21:56:55.852047 1 0 i-1688be7b i-1488be79 0.0-10.0 730578944 583551181 0.0-10.0 12502350 9999994 0.043 26 8504 27
2010-12-12 21:57:22.915555 0 1 i-1488be79 i-1688be7b 0.0-10.0 465158144 371969432 0.0-10.0 12462660 9961528 0.024 4 8477 5
2010-12-12 21:57:49.024477 1 0 i-1688be7b i-1488be79 0.0-10.0 493559808 394602719 0.0-10.0 12489120 9981526 0.025 4 8495 5
2010-12-12 21:58:15.526899 0 1 i-1488be79 i-1688be7b 0.0-10.0 453959680 363037957 0.0-10.0 12483240 9980108 0.035 14 8491 15
2010-12-12 21:58:41.582127 1 0 i-1688be7b i-1488be79 0.0-10.0 766902272 613205648 0.0-10.0 12502350 9999996 0.036 2 8504 3
2010-12-12 21:59:08.122078 0 1 i-1488be79 i-1688be7b 0.0-10.0 466526208 372923746 0.0-10.0 12492060 9992425 0.053 3 8497 4
2010-12-12 21:59:34.865430 1 0 i-1688be7b i-1488be79 0.0-10.0 788062208 629707718 0.0-10.0 12477360 9981868 0.029 4 8487 5
2010-12-12 22:00:01.358691 0 1 i-1488be79 i-1688be7b 0.0-10.0 446521344 357069998 0.0-10.0 12502350 9999994 0.034 0 8504 1
2010-12-12 22:00:28.086987 1 0 i-1688be7b i-1488be79 0.0-10.0 654901248 523649119 0.0-10.0 12487650 9974454 0.038 0 8494 1
