date time client_id server_id client_uqid server_uqid rtt
2010-12-12 21:51:55.422461 0 1 i-1488be79 i-1688be7b 0.519
2010-12-12 21:52:27.941792 1 0 i-1688be7b i-1488be79 0.533
2010-12-12 21:53:03.534344 0 1 i-1488be79 i-1688be7b 0.652
2010-12-12 21:53:33.956117 1 0 i-1688be7b i-1488be79 0.606
2010-12-12 21:54:04.944753 0 1 i-1488be79 i-1688be7b 0.636
2010-12-12 21:54:42.069426 1 0 i-1688be7b i-1488be79 0.462
2010-12-12 21:55:21.695003 0 1 i-1488be79 i-1688be7b 0.488
2010-12-12 21:56:03.102148 1 0 i-1688be7b i-1488be79 0.643
2010-12-12 21:56:31.723420 0 1 i-1488be79 i-1688be7b 0.599
2010-12-12 21:56:58.171816 1 0 i-1688be7b i-1488be79 0.872
2010-12-12 21:57:25.162798 0 1 i-1488be79 i-1688be7b 0.685
2010-12-12 21:57:51.397077 1 0 i-1688be7b i-1488be79 0.567
2010-12-12 21:58:17.738155 0 1 i-1488be79 i-1688be7b 0.640
2010-12-12 21:58:43.809406 1 0 i-1688be7b i-1488be79 0.606
2010-12-12 21:59:10.501763 0 1 i-1488be79 i-1688be7b 0.537
2010-12-12 21:59:37.218424 1 0 i-1688be7b i-1488be79 0.501
2010-12-12 22:00:03.749967 0 1 i-1488be79 i-1688be7b 0.675
2010-12-12 22:00:30.593972 1 0 i-1688be7b i-1488be79 0.486
2010-12-12 22:00:56.776350 0 1 i-1488be79 i-1688be7b 0.621
2010-12-12 22:01:22.712506 1 0 i-1688be7b i-1488be79 0.496
2010-12-12 22:27:52.003443 0 1 i-1488be79 i-1688be7b 0.551
2010-12-12 22:28:18.090596 1 0 i-1688be7b i-1488be79 0.541
2010-12-12 22:28:43.757635 0 1 i-1488be79 i-1688be7b 0.526
2010-12-12 22:29:09.340744 1 0 i-1688be7b i-1488be79 0.570
2010-12-12 22:29:34.995595 0 1 i-1488be79 i-1688be7b 0.568
2010-12-12 22:30:01.358721 1 0 i-1688be7b i-1488be79 0.535
2010-12-12 22:30:27.786659 0 1 i-1488be79 i-1688be7b 0.554
2010-12-12 22:30:54.187886 1 0 i-1688be7b i-1488be79 0.601
2010-12-12 22:31:25.108619 0 1 i-1488be79 i-1688be7b 0.599
2010-12-12 22:31:51.266995 1 0 i-1688be7b i-1488be79 0.584
2010-12-12 22:32:22.785664 0 1 i-1488be79 i-1688be7b 0.609
2010-12-12 22:32:49.120290 1 0 i-1688be7b i-1488be79 0.546
2010-12-12 22:33:20.132421 0 1 i-1488be79 i-1688be7b 0.544
2010-12-12 22:33:45.894967 1 0 i-1688be7b i-1488be79 0.543
2010-12-12 22:34:12.351924 0 1 i-1488be79 i-1688be7b 0.592
2010-12-12 22:34:38.754763 1 0 i-1688be7b i-1488be79 0.533
2010-12-12 22:35:05.288347 0 1 i-1488be79 i-1688be7b 0.584
2010-12-12 22:35:31.643976 1 0 i-1688be7b i-1488be79 24.8
2010-12-12 22:35:57.867328 0 1 i-1488be79 i-1688be7b 0.532
2010-12-12 22:36:23.346777 1 0 i-1688be7b i-1488be79 0.519
2010-12-12 22:36:48.991553 0 1 i-1488be79 i-1688be7b 0.569
2010-12-12 22:37:14.837116 1 0 i-1688be7b i-1488be79 0.536
2010-12-12 22:37:40.427221 0 1 i-1488be79 i-1688be7b 0.519
2010-12-12 22:38:06.106467 1 0 i-1688be7b i-1488be79 0.637
2010-12-12 22:38:31.646541 0 1 i-1488be79 i-1688be7b 0.543
2010-12-12 22:39:02.249508 1 0 i-1688be7b i-1488be79 0.598
2010-12-12 22:39:27.596268 0 1 i-1488be79 i-1688be7b 0.586
2010-12-12 22:39:52.955879 1 0 i-1688be7b i-1488be79 0.659
2010-12-12 22:40:18.492687 0 1 i-1488be79 i-1688be7b 0.549
2010-12-12 22:40:44.060638 1 0 i-1688be7b i-1488be79 0.573
2010-12-12 22:41:09.581337 0 1 i-1488be79 i-1688be7b 0.541
2010-12-12 22:41:34.962892 1 0 i-1688be7b i-1488be79 0.568
2010-12-12 22:42:00.413617 0 1 i-1488be79 i-1688be7b 0.627
2010-12-12 22:42:25.973716 1 0 i-1688be7b i-1488be79 0.512
2010-12-12 22:42:51.541704 0 1 i-1488be79 i-1688be7b 20.0
2010-12-12 22:43:17.095291 1 0 i-1688be7b i-1488be79 0.574
