date time client_id server_id client_uqid server_uqid hop_count
2010-12-12 21:51:58.538586 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:52:30.409032 1 0 i-1688be7b i-1488be79 4
2010-12-12 21:53:05.649205 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:53:37.004486 1 0 i-1688be7b i-1488be79 4
2010-12-12 21:54:08.114692 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:54:44.610967 1 0 i-1688be7b i-1488be79 4
2010-12-12 21:55:28.847637 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:56:04.975001 1 0 i-1688be7b i-1488be79 4
2010-12-12 21:56:33.116070 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:57:00.350673 1 0 i-1688be7b i-1488be79 4
2010-12-12 21:57:26.464714 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:57:52.739798 1 0 i-1688be7b i-1488be79 4
2010-12-12 21:58:18.976544 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:58:45.206348 1 0 i-1688be7b i-1488be79 4
2010-12-12 21:59:11.980780 0 1 i-1488be79 i-1688be7b 4
2010-12-12 21:59:38.544416 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:00:05.219882 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:00:31.813264 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:00:58.053490 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:01:23.845332 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:27:53.291571 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:28:19.271738 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:28:44.885260 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:29:10.406535 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:29:36.296886 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:30:02.568615 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:30:29.169546 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:31:00.451730 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:31:26.400941 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:31:57.532012 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:32:24.090122 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:32:55.436081 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:33:21.272240 0 1 i-1488be79 i-1688be7b 4
2010-12-12 22:33:47.128992 1 0 i-1688be7b i-1488be79 4
2010-12-12 22:34:13.656028 0 1 i-1488be79 i-1688be7b 4
